ColorName,HexCode,RGB_1,RGB_2,RGB_3
Camel,#c69f59,198,159,89
Pesto,#c1b23e,193,178,62
Blizzard Blue,#a3e3ed,163,227,237
Aphroditean Fuschia,#dd14ab,221,20,171
Bolognese,#bb4400,187,68,0
Caramel,#af6f09,175,111,9
Lotus Flower,#f4f0da,244,240,218
Hot Flamingo,#b35966,179,89,102
Love Affair,#ffbec8,255,190,200
Eggnog,#fdea9f,253,234,159
Nordic Noir,#003344,0,51,68
Candy,#ff9b87,255,155,135
Red Elegance,#85464b,133,70,75
Radiant Sunrise,#eebe1b,238,190,27
Young Night,#232323,35,35,35
Sereni Teal,#76baa8,118,186,168
Pickled Pineapple,#eeff33,238,255,51
Midnight Melancholia,#002266,0,34,102
Duck Hunt,#005800,0,88,0
Wind Chimes,#cac5c2,202,197,194
Banner Gold,#a28557,162,133,87
Metal,#babfbc,186,191,188
Mummy's Tomb,#828e84,130,142,132
Merlot,#730039,115,0,57
Caviar,#292a2d,41,42,45
LA Vibes,#eeccdd,238,204,221
Macaroon,#b38b71,179,139,113
Windjammer,#62a5df,98,165,223
Earthbound,#a48a80,164,138,128
Stormy Oceans,#70818e,112,129,142
Flamingo Queen,#cc33ff,204,51,255
Dark Olive,#373e02,55,62,2
Giggle,#eff0d3,239,240,211
Chocolate Lust,#993322,153,51,34
Magnetos,#bf3cff,191,60,255
Golden Ginkgo,#f9f525,249,245,37
Haunted Hills,#003311,0,51,17
Lucius Lilac,#baa2ce,186,162,206
Honey Bunny,#dbb881,219,184,129
Arctic,#648589,100,133,137
Moonless Night,#2f2d30,47,45,48
Ocean Breeze,#d3e5eb,211,229,235
Volcanic Rock,#6b6965,107,105,101
One Minute to Midnight,#003388,0,51,136
Lavender,#b56edc,181,110,220
Mulberry,#920a4e,146,10,78
Transfusion,#ea1833,234,24,51
Lucky Lobster,#cc3322,204,51,34
Pear,#d1e231,209,226,49
Cold Light of Day,#00eeee,0,238,238
Ghost Whisperer,#cbd1d0,203,209,208
